X3,<__Null#9223372036854777679>,<__Null#9223372036854777672>,<__Null#9223372036854777676>
X1,X2,<__Null#9223372036854786904>,<__Null#9223372036854786909>
X1,<__Null#9223372036854787577>,X7,<__Null#9223372036854787578>
X0,<__Null#9223372036854833930>,<__Null#9223372036854833934>,<__Null#9223372036854833932>
X0,<__Null#9223372036854834127>,<__Null#9223372036854834123>,<__Null#9223372036854834121>
<__Null#9223372036854785084>,<__Null#9223372036854785081>,X11,<__Null#9223372036854785086>
<__Null#9223372036854785559>,<__Null#9223372036854785564>,X11,<__Null#9223372036854785565>
<__Null#9223372036854789587>,X1,<__Null#9223372036854789586>,<__Null#9223372036854789582>
<__Null#9223372036854796236>,<__Null#9223372036854796241>,X9,<__Null#9223372036854796238>
<__Null#9223372036854800617>,X1,<__Null#9223372036854800622>,<__Null#9223372036854800619>
<__Null#9223372036854808539>,<__Null#9223372036854808538>,X5,X6
<__Null#9223372036854813748>,X2,X7,<__Null#9223372036854813747>
<__Null#9223372036854825371>,X3,<__Null#9223372036854825370>,X10
<__Null#9223372036854831778>,<__Null#9223372036854831782>,X11,<__Null#9223372036854831785>
<__Null#9223372036854833013>,X1,X5,<__Null#9223372036854833010>
