X2,<__Null#9223372036854833586>,<__Null#9223372036854833588>,<__Null#9223372036854833582>
X0,X1,<__Null#9223372036854805681>,X6
<__Null#9223372036854794884>,<__Null#9223372036854794890>,<__Null#9223372036854794885>,<__Null#9223372036854794892>
<__Null#9223372036854800972>,<__Null#9223372036854800979>,X7,<__Null#9223372036854800978>
<__Null#9223372036854805180>,X3,<__Null#9223372036854805185>,<__Null#9223372036854805179>
<__Null#9223372036854806432>,X2,<__Null#9223372036854806433>,<__Null#9223372036854806431>
<__Null#9223372036854831215>,X1,<__Null#9223372036854831212>,<__Null#9223372036854831216>
<__Null#9223372036854831493>,<__Null#9223372036854831491>,X11,X12
<__Null#9223372036854831948>,<__Null#9223372036854831949>,X9,<__Null#9223372036854831956>
<__Null#9223372036854832207>,X4,<__Null#9223372036854832210>,<__Null#9223372036854832200>
<__Null#9223372036854832256>,<__Null#9223372036854832251>,<__Null#9223372036854832260>,<__Null#9223372036854832259>
<__Null#9223372036854833140>,<__Null#9223372036854833138>,<__Null#9223372036854833139>,X10
<__Null#9223372036854833213>,X2,<__Null#9223372036854833216>,<__Null#9223372036854833215>
<__Null#9223372036854833520>,X4,X11,<__Null#9223372036854833521>
<__Null#9223372036854833795>,<__Null#9223372036854833786>,<__Null#9223372036854833785>,<__Null#9223372036854833793>
