X4,<__Null#9223372036854822472>,<__Null#9223372036854822467>,<__Null#9223372036854822471>
X3,<__Null#9223372036854797359>,<__Null#9223372036854797360>,<__Null#9223372036854797361>
X2,X3,<__Null#9223372036854780351>,<__Null#9223372036854780354>
X2,<__Null#9223372036854801637>,X9,<__Null#9223372036854801639>
X2,<__Null#9223372036854822481>,<__Null#9223372036854822476>,<__Null#9223372036854822480>
X1,<__Null#9223372036854822490>,<__Null#9223372036854822485>,<__Null#9223372036854822489>
X1,<__Null#9223372036854832693>,<__Null#9223372036854832692>,<__Null#9223372036854832689>
X0,<__Null#9223372036854832329>,<__Null#9223372036854832327>,<__Null#9223372036854832330>
<__Null#9223372036854778651>,<__Null#9223372036854778652>,<__Null#9223372036854778653>,X10
<__Null#9223372036854780061>,<__Null#9223372036854822499>,<__Null#9223372036854822494>,<__Null#9223372036854822498>
<__Null#9223372036854780067>,<__Null#9223372036854822508>,<__Null#9223372036854822503>,<__Null#9223372036854822507>
<__Null#9223372036854780078>,<__Null#9223372036854822517>,<__Null#9223372036854822512>,<__Null#9223372036854822516>
<__Null#9223372036854780088>,<__Null#9223372036854822526>,<__Null#9223372036854822521>,<__Null#9223372036854822525>
<__Null#9223372036854780103>,<__Null#9223372036854822535>,<__Null#9223372036854822530>,<__Null#9223372036854822534>
<__Null#9223372036854780127>,<__Null#9223372036854822544>,<__Null#9223372036854822539>,<__Null#9223372036854822543>
<__Null#9223372036854780140>,<__Null#9223372036854822553>,<__Null#9223372036854822548>,<__Null#9223372036854822552>
<__Null#9223372036854786661>,<__Null#9223372036854786662>,X5,X6
<__Null#9223372036854789140>,<__Null#9223372036854789133>,<__Null#9223372036854789134>,<__Null#9223372036854789132>
<__Null#9223372036854801691>,X4,<__Null#9223372036854801693>,<__Null#9223372036854801698>
<__Null#9223372036854831395>,<__Null#9223372036854831391>,<__Null#9223372036854831392>,<__Null#9223372036854831398>
<__Null#9223372036854831447>,<__Null#9223372036854831451>,X11,X12
<__Null#9223372036854831489>,<__Null#9223372036854831495>,<__Null#9223372036854831494>,<__Null#9223372036854831488>
<__Null#9223372036854832039>,<__Null#9223372036854832044>,<__Null#9223372036854832043>,<__Null#9223372036854832036>
<__Null#9223372036854832407>,X1,<__Null#9223372036854832403>,<__Null#9223372036854832405>
<__Null#9223372036854832565>,X4,<__Null#9223372036854832566>,<__Null#9223372036854832568>
<__Null#9223372036854833226>,X2,<__Null#9223372036854833224>,<__Null#9223372036854833227>
