X3,<__Null#9223372036854831436>,<__Null#9223372036854831431>,<__Null#9223372036854831440>
<__Null#9223372036854780685>,<__Null#9223372036854780678>,X11,<__Null#9223372036854780684>
<__Null#9223372036854781091>,<__Null#9223372036854781097>,<__Null#9223372036854781094>,<__Null#9223372036854781092>
<__Null#9223372036854783602>,X1,<__Null#9223372036854783605>,X6
<__Null#9223372036854792649>,<__Null#9223372036854792652>,<__Null#9223372036854792653>,X12
<__Null#9223372036854800729>,X2,<__Null#9223372036854800730>,X8
<__Null#9223372036854818455>,<__Null#9223372036854818463>,<__Null#9223372036854818458>,X12
<__Null#9223372036854831004>,<__Null#9223372036854831005>,<__Null#9223372036854830999>,<__Null#9223372036854831001>
<__Null#9223372036854831439>,X3,<__Null#9223372036854831435>,<__Null#9223372036854831437>
<__Null#9223372036854832312>,<__Null#9223372036854832313>,<__Null#9223372036854832314>,<__Null#9223372036854832310>
<__Null#9223372036854833054>,<__Null#9223372036854833050>,X9,<__Null#9223372036854833056>
<__Null#9223372036854833551>,<__Null#9223372036854833543>,X7,<__Null#9223372036854833549>
<__Null#9223372036854833996>,<__Null#9223372036854833993>,<__Null#9223372036854833994>,<__Null#9223372036854833992>
