X2,<__Null#9223372036854831695>,X9,<__Null#9223372036854831694>
X0,X1,<__Null#9223372036854800962>,X6
<__Null#9223372036854777466>,<__Null#9223372036854777465>,X11,X12
<__Null#9223372036854778682>,<__Null#9223372036854778690>,X7,<__Null#9223372036854778685>
<__Null#9223372036854780345>,X3,<__Null#9223372036854780337>,<__Null#9223372036854780339>
<__Null#9223372036854780373>,<__Null#9223372036854780368>,<__Null#9223372036854780371>,<__Null#9223372036854780369>
<__Null#9223372036854784600>,<__Null#9223372036854784602>,<__Null#9223372036854784597>,<__Null#9223372036854784596>
<__Null#9223372036854796396>,<__Null#9223372036854796404>,<__Null#9223372036854796400>,X6
<__Null#9223372036854831193>,<__Null#9223372036854831187>,<__Null#9223372036854831189>,X10
<__Null#9223372036854833012>,<__Null#9223372036854833018>,<__Null#9223372036854833016>,<__Null#9223372036854833017>
<__Null#9223372036854833391>,<__Null#9223372036854833383>,<__Null#9223372036854833390>,<__Null#9223372036854833388>
<__Null#9223372036854833567>,<__Null#9223372036854833566>,<__Null#9223372036854833568>,<__Null#9223372036854833569>
<__Null#9223372036854833786>,<__Null#9223372036854833794>,<__Null#9223372036854833788>,<__Null#9223372036854833792>
