X3,<__Null#9223372036854794878>,<__Null#9223372036854794881>,<__Null#9223372036854794879>
X2,<__Null#9223372036854787512>,<__Null#9223372036854787515>,<__Null#9223372036854787507>
X1,X2,<__Null#9223372036854832535>,<__Null#9223372036854832539>
X0,X1,<__Null#9223372036854799687>,<__Null#9223372036854799684>
X0,<__Null#9223372036854789627>,<__Null#9223372036854789628>,<__Null#9223372036854789620>
<__Null#9223372036854775902>,<__Null#9223372036854775904>,<__Null#9223372036854775900>,X8
<__Null#9223372036854776908>,X1,<__Null#9223372036854776911>,<__Null#9223372036854776903>
<__Null#9223372036854782779>,<__Null#9223372036854782782>,<__Null#9223372036854782783>,<__Null#9223372036854782778>
<__Null#9223372036854786573>,<__Null#9223372036854786570>,<__Null#9223372036854786575>,<__Null#9223372036854786567>
<__Null#9223372036854788948>,X2,<__Null#9223372036854788950>,<__Null#9223372036854788951>
<__Null#9223372036854827365>,X4,X11,<__Null#9223372036854827367>
<__Null#9223372036854830913>,<__Null#9223372036854830914>,<__Null#9223372036854830919>,<__Null#9223372036854830920>
<__Null#9223372036854831701>,<__Null#9223372036854831698>,<__Null#9223372036854831702>,X6
<__Null#9223372036854832634>,<__Null#9223372036854832635>,<__Null#9223372036854832637>,<__Null#9223372036854832632>
<__Null#9223372036854833153>,<__Null#9223372036854833151>,X9,<__Null#9223372036854833150>
