X2,<__Null#9223372036854830913>,<__Null#9223372036854830921>,<__Null#9223372036854830917>
X1,<__Null#9223372036854788630>,X7,<__Null#9223372036854788631>
<__Null#9223372036854776839>,<__Null#9223372036854776837>,<__Null#9223372036854776831>,X8
<__Null#9223372036854784668>,X2,<__Null#9223372036854784669>,<__Null#9223372036854784675>
<__Null#9223372036854789595>,<__Null#9223372036854789600>,<__Null#9223372036854789593>,<__Null#9223372036854789601>
<__Null#9223372036854800666>,X1,<__Null#9223372036854800664>,<__Null#9223372036854800668>
<__Null#9223372036854825428>,X3,X9,<__Null#9223372036854825430>
<__Null#9223372036854831006>,<__Null#9223372036854831009>,<__Null#9223372036854831005>,<__Null#9223372036854831010>
<__Null#9223372036854831173>,X1,<__Null#9223372036854831170>,<__Null#9223372036854831169>
<__Null#9223372036854832112>,<__Null#9223372036854832111>,<__Null#9223372036854832117>,<__Null#9223372036854832115>
<__Null#9223372036854832209>,X2,X7,<__Null#9223372036854832210>
<__Null#9223372036854832275>,<__Null#9223372036854832279>,<__Null#9223372036854832276>,X12
<__Null#9223372036854834183>,<__Null#9223372036854834185>,<__Null#9223372036854834187>,<__Null#9223372036854834184>
