X3,<__Null#9223372036854783410>,<__Null#9223372036854783409>,<__Null#9223372036854783411>
X1,<__Null#9223372036854832580>,<__Null#9223372036854832576>,X8
X1,<__Null#9223372036854833848>,<__Null#9223372036854833855>,X8
X0,X1,X5,<__Null#9223372036854789610>
<__Null#9223372036854781171>,<__Null#9223372036854781167>,<__Null#9223372036854781168>,<__Null#9223372036854781169>
<__Null#9223372036854789575>,X3,<__Null#9223372036854789572>,<__Null#9223372036854789576>
<__Null#9223372036854831256>,X2,X7,<__Null#9223372036854831258>
<__Null#9223372036854831317>,<__Null#9223372036854831318>,X11,<__Null#9223372036854831319>
<__Null#9223372036854831964>,<__Null#9223372036854831961>,<__Null#9223372036854831963>,X10
<__Null#9223372036854832583>,<__Null#9223372036854832588>,X11,<__Null#9223372036854832590>
<__Null#9223372036854833211>,<__Null#9223372036854833207>,X5,X6
<__Null#9223372036854833561>,<__Null#9223372036854833567>,<__Null#9223372036854833564>,<__Null#9223372036854833563>
<__Null#9223372036854834020>,<__Null#9223372036854834011>,<__Null#9223372036854834014>,X10
