X3,<__Null#9223372036854782764>,<__Null#9223372036854782760>,<__Null#9223372036854782765>
X2,X3,<__Null#9223372036854785551>,<__Null#9223372036854785552>
X2,<__Null#9223372036854780246>,X9,<__Null#9223372036854780240>
X1,X2,X7,X8
<__Null#9223372036854776474>,<__Null#9223372036854776471>,X9,X10
<__Null#9223372036854777998>,<__Null#9223372036854777999>,<__Null#9223372036854777997>,<__Null#9223372036854778004>
<__Null#9223372036854780634>,<__Null#9223372036854780629>,<__Null#9223372036854780631>,X6
<__Null#9223372036854783413>,X2,<__Null#9223372036854783414>,<__Null#9223372036854783415>
<__Null#9223372036854785517>,<__Null#9223372036854785512>,<__Null#9223372036854785510>,X8
<__Null#9223372036854785522>,<__Null#9223372036854785525>,X11,<__Null#9223372036854785526>
<__Null#9223372036854785537>,X4,X11,<__Null#9223372036854785534>
<__Null#9223372036854785546>,<__Null#9223372036854785543>,X5,X6
<__Null#9223372036854785562>,<__Null#9223372036854785559>,X9,<__Null#9223372036854785560>
<__Null#9223372036854785571>,<__Null#9223372036854785577>,<__Null#9223372036854785573>,<__Null#9223372036854785576>
<__Null#9223372036854785583>,X1,<__Null#9223372036854785584>,<__Null#9223372036854785589>
<__Null#9223372036854785594>,<__Null#9223372036854785600>,<__Null#9223372036854785602>,X8
<__Null#9223372036854785605>,X4,<__Null#9223372036854785608>,<__Null#9223372036854785615>
