X4,<__Null#9223372036854813778>,<__Null#9223372036854813782>,<__Null#9223372036854813777>
X3,X4,<__Null#9223372036854831655>,<__Null#9223372036854831654>
X3,<__Null#9223372036854813787>,<__Null#9223372036854813791>,<__Null#9223372036854813786>
X3,<__Null#9223372036854832909>,<__Null#9223372036854832913>,X12
X2,<__Null#9223372036854813796>,<__Null#9223372036854813800>,<__Null#9223372036854813795>
X2,<__Null#9223372036854813805>,<__Null#9223372036854813809>,<__Null#9223372036854813804>
X2,<__Null#9223372036854831428>,<__Null#9223372036854831431>,<__Null#9223372036854831423>
X1,X2,X7,X8
X1,<__Null#9223372036854831618>,X7,<__Null#9223372036854831623>
<__Null#9223372036854776410>,<__Null#9223372036854813814>,<__Null#9223372036854813818>,<__Null#9223372036854813813>
<__Null#9223372036854780120>,<__Null#9223372036854780123>,<__Null#9223372036854780121>,X8
<__Null#9223372036854780348>,<__Null#9223372036854780349>,X5,<__Null#9223372036854780350>
<__Null#9223372036854780685>,<__Null#9223372036854813823>,<__Null#9223372036854813827>,<__Null#9223372036854813822>
<__Null#9223372036854783464>,<__Null#9223372036854813832>,<__Null#9223372036854813836>,<__Null#9223372036854813831>
<__Null#9223372036854790768>,<__Null#9223372036854813841>,<__Null#9223372036854813845>,<__Null#9223372036854813840>
<__Null#9223372036854796224>,<__Null#9223372036854813850>,<__Null#9223372036854813854>,<__Null#9223372036854813849>
<__Null#9223372036854801032>,<__Null#9223372036854813859>,<__Null#9223372036854813863>,<__Null#9223372036854813858>
<__Null#9223372036854804906>,<__Null#9223372036854813868>,<__Null#9223372036854813872>,<__Null#9223372036854813867>
<__Null#9223372036854805226>,X3,X9,X10
<__Null#9223372036854805667>,<__Null#9223372036854813877>,<__Null#9223372036854813881>,<__Null#9223372036854813876>
<__Null#9223372036854813761>,<__Null#9223372036854813886>,<__Null#9223372036854813890>,<__Null#9223372036854813885>
<__Null#9223372036854813771>,<__Null#9223372036854813895>,<__Null#9223372036854813899>,<__Null#9223372036854813894>
<__Null#9223372036854831842>,<__Null#9223372036854831836>,<__Null#9223372036854831841>,<__Null#9223372036854831843>
<__Null#9223372036854834101>,X4,<__Null#9223372036854834102>,<__Null#9223372036854834093>
