X3,<__Null#9223372036854799482>,<__Null#9223372036854799476>,<__Null#9223372036854799483>
X2,<__Null#9223372036854788619>,<__Null#9223372036854788621>,<__Null#9223372036854788622>
X1,X2,X7,X8
X1,<__Null#9223372036854788753>,<__Null#9223372036854788748>,<__Null#9223372036854788749>
X0,X1,<__Null#9223372036854831532>,<__Null#9223372036854831534>
X0,<__Null#9223372036854783471>,<__Null#9223372036854783469>,X6
X0,<__Null#9223372036854805700>,<__Null#9223372036854805699>,X6
<__Null#9223372036854777437>,X3,<__Null#9223372036854777439>,X10
<__Null#9223372036854778201>,<__Null#9223372036854788762>,<__Null#9223372036854788757>,<__Null#9223372036854788758>
<__Null#9223372036854781761>,X2,X7,<__Null#9223372036854781757>
<__Null#9223372036854786642>,<__Null#9223372036854788771>,<__Null#9223372036854788766>,<__Null#9223372036854788767>
<__Null#9223372036854787528>,<__Null#9223372036854787535>,<__Null#9223372036854787533>,<__Null#9223372036854787532>
<__Null#9223372036854788628>,<__Null#9223372036854788780>,<__Null#9223372036854788775>,<__Null#9223372036854788776>
<__Null#9223372036854788652>,<__Null#9223372036854788789>,<__Null#9223372036854788784>,<__Null#9223372036854788785>
<__Null#9223372036854788659>,<__Null#9223372036854788798>,<__Null#9223372036854788793>,<__Null#9223372036854788794>
<__Null#9223372036854788674>,<__Null#9223372036854788807>,<__Null#9223372036854788802>,<__Null#9223372036854788803>
<__Null#9223372036854788683>,<__Null#9223372036854788816>,<__Null#9223372036854788811>,<__Null#9223372036854788812>
<__Null#9223372036854788687>,<__Null#9223372036854788825>,<__Null#9223372036854788820>,<__Null#9223372036854788821>
<__Null#9223372036854788698>,<__Null#9223372036854788834>,<__Null#9223372036854788829>,<__Null#9223372036854788830>
<__Null#9223372036854788711>,<__Null#9223372036854788843>,<__Null#9223372036854788838>,<__Null#9223372036854788839>
<__Null#9223372036854788726>,<__Null#9223372036854788852>,<__Null#9223372036854788847>,<__Null#9223372036854788848>
<__Null#9223372036854788730>,<__Null#9223372036854788861>,<__Null#9223372036854788856>,<__Null#9223372036854788857>
<__Null#9223372036854789115>,<__Null#9223372036854789116>,<__Null#9223372036854789117>,X6
<__Null#9223372036854790186>,<__Null#9223372036854790188>,<__Null#9223372036854790192>,X8
<__Null#9223372036854831195>,<__Null#9223372036854831191>,<__Null#9223372036854831193>,<__Null#9223372036854831194>
<__Null#9223372036854831213>,X3,<__Null#9223372036854831218>,X10
<__Null#9223372036854832318>,<__Null#9223372036854832316>,<__Null#9223372036854832320>,<__Null#9223372036854832317>
<__Null#9223372036854832831>,<__Null#9223372036854832828>,X9,<__Null#9223372036854832830>
<__Null#9223372036854833353>,<__Null#9223372036854833349>,<__Null#9223372036854833352>,<__Null#9223372036854833354>
<__Null#9223372036854834078>,X4,<__Null#9223372036854834081>,<__Null#9223372036854834083>
