X2,<__Null#9223372036854831052>,<__Null#9223372036854831053>,<__Null#9223372036854831047>
X0,X1,X5,X6
<__Null#9223372036854781137>,<__Null#9223372036854781139>,<__Null#9223372036854781140>,<__Null#9223372036854781141>
<__Null#9223372036854785563>,<__Null#9223372036854785562>,X7,<__Null#9223372036854785558>
<__Null#9223372036854786914>,<__Null#9223372036854786912>,<__Null#9223372036854786915>,X8
<__Null#9223372036854799254>,X1,<__Null#9223372036854799253>,X6
<__Null#9223372036854805250>,<__Null#9223372036854805245>,<__Null#9223372036854805244>,<__Null#9223372036854805247>
<__Null#9223372036854817856>,<__Null#9223372036854817853>,X5,<__Null#9223372036854817857>
<__Null#9223372036854831003>,<__Null#9223372036854831002>,X11,X12
<__Null#9223372036854831094>,<__Null#9223372036854831088>,<__Null#9223372036854831089>,<__Null#9223372036854831090>
<__Null#9223372036854831907>,<__Null#9223372036854831899>,<__Null#9223372036854831904>,<__Null#9223372036854831908>
<__Null#9223372036854832369>,<__Null#9223372036854832374>,X9,<__Null#9223372036854832375>
<__Null#9223372036854832693>,<__Null#9223372036854832687>,<__Null#9223372036854832688>,<__Null#9223372036854832690>
<__Null#9223372036854833022>,X2,<__Null#9223372036854833030>,<__Null#9223372036854833031>
<__Null#9223372036854833190>,<__Null#9223372036854833191>,<__Null#9223372036854833187>,<__Null#9223372036854833186>
<__Null#9223372036854833233>,<__Null#9223372036854833223>,<__Null#9223372036854833231>,X12
