X3,<__Null#9223372036854796221>,<__Null#9223372036854796215>,X12
X2,<__Null#9223372036854792619>,X9,<__Null#9223372036854792614>
X2,<__Null#9223372036854796209>,X9,<__Null#9223372036854796212>
X0,<__Null#9223372036854777750>,<__Null#9223372036854777742>,<__Null#9223372036854777744>
X0,<__Null#9223372036854796227>,<__Null#9223372036854796232>,X6
<__Null#9223372036854777736>,<__Null#9223372036854777731>,<__Null#9223372036854777729>,<__Null#9223372036854777733>
<__Null#9223372036854786592>,X4,<__Null#9223372036854786596>,<__Null#9223372036854786587>
<__Null#9223372036854789322>,<__Null#9223372036854789326>,<__Null#9223372036854789318>,<__Null#9223372036854789320>
<__Null#9223372036854794863>,<__Null#9223372036854794860>,X5,<__Null#9223372036854794861>
<__Null#9223372036854796188>,<__Null#9223372036854796186>,X7,<__Null#9223372036854796194>
<__Null#9223372036854796197>,X2,<__Null#9223372036854796207>,<__Null#9223372036854796206>
<__Null#9223372036854796239>,<__Null#9223372036854796236>,<__Null#9223372036854796240>,X8
<__Null#9223372036854796247>,X3,<__Null#9223372036854796248>,X10
