X1,<__Null#9223372036854832705>,<__Null#9223372036854832699>,<__Null#9223372036854832698>
X0,X1,<__Null#9223372036854787534>,<__Null#9223372036854787527>
<__Null#9223372036854776407>,<__Null#9223372036854776411>,X9,<__Null#9223372036854776409>
<__Null#9223372036854777488>,X3,X9,<__Null#9223372036854777489>
<__Null#9223372036854778264>,X4,<__Null#9223372036854778266>,<__Null#9223372036854778263>
<__Null#9223372036854780246>,<__Null#9223372036854780243>,<__Null#9223372036854780239>,<__Null#9223372036854780244>
<__Null#9223372036854781097>,<__Null#9223372036854781093>,<__Null#9223372036854781096>,<__Null#9223372036854781090>
<__Null#9223372036854811293>,X4,<__Null#9223372036854811292>,X12
<__Null#9223372036854831878>,<__Null#9223372036854831870>,X5,<__Null#9223372036854831873>
<__Null#9223372036854832436>,X3,<__Null#9223372036854832433>,<__Null#9223372036854832441>
<__Null#9223372036854833662>,X3,X9,<__Null#9223372036854833663>
<__Null#9223372036854834018>,<__Null#9223372036854834020>,<__Null#9223372036854834013>,<__Null#9223372036854834015>
<__Null#9223372036854834113>,<__Null#9223372036854834114>,<__Null#9223372036854834106>,<__Null#9223372036854834107>
