X3,<__Null#9223372036854832923>,X11,<__Null#9223372036854832924>
X2,<__Null#9223372036854833988>,<__Null#9223372036854833992>,<__Null#9223372036854833989>
X1,X2,<__Null#9223372036854800696>,X8
X0,<__Null#9223372036854780723>,<__Null#9223372036854780715>,<__Null#9223372036854780716>
X0,<__Null#9223372036854832105>,<__Null#9223372036854832106>,<__Null#9223372036854832107>
<__Null#9223372036854777753>,<__Null#9223372036854777759>,<__Null#9223372036854777756>,<__Null#9223372036854777755>
<__Null#9223372036854779295>,X4,<__Null#9223372036854779300>,<__Null#9223372036854779299>
<__Null#9223372036854786662>,<__Null#9223372036854786655>,X7,X8
<__Null#9223372036854788052>,X3,<__Null#9223372036854788059>,X10
<__Null#9223372036854800731>,<__Null#9223372036854800734>,<__Null#9223372036854800736>,<__Null#9223372036854800735>
<__Null#9223372036854800999>,<__Null#9223372036854800995>,<__Null#9223372036854801000>,<__Null#9223372036854800993>
<__Null#9223372036854831260>,<__Null#9223372036854831256>,<__Null#9223372036854831255>,<__Null#9223372036854831253>
<__Null#9223372036854831870>,X2,X7,<__Null#9223372036854831876>
<__Null#9223372036854832494>,<__Null#9223372036854832495>,<__Null#9223372036854832497>,<__Null#9223372036854832498>
<__Null#9223372036854833100>,<__Null#9223372036854833101>,X7,<__Null#9223372036854833097>
