X1,<__Null#9223372036854817838>,<__Null#9223372036854817832>,<__Null#9223372036854817837>
X0,X1,X5,<__Null#9223372036854817864>
X0,X1,<__Null#9223372036854801460>,X6
<__Null#9223372036854779267>,<__Null#9223372036854779263>,<__Null#9223372036854779266>,X12
<__Null#9223372036854780283>,<__Null#9223372036854780289>,<__Null#9223372036854780282>,X8
<__Null#9223372036854781680>,X1,<__Null#9223372036854781679>,<__Null#9223372036854781677>
<__Null#9223372036854817828>,<__Null#9223372036854817825>,<__Null#9223372036854817823>,<__Null#9223372036854817829>
<__Null#9223372036854817843>,<__Null#9223372036854817849>,<__Null#9223372036854817852>,<__Null#9223372036854817845>
<__Null#9223372036854817852>,X3,<__Null#9223372036854817851>,<__Null#9223372036854817855>
<__Null#9223372036854817874>,<__Null#9223372036854817870>,<__Null#9223372036854817872>,<__Null#9223372036854817878>
<__Null#9223372036854817879>,X2,<__Null#9223372036854817887>,<__Null#9223372036854817880>
<__Null#9223372036854817888>,X3,<__Null#9223372036854817895>,<__Null#9223372036854817896>
