X3,<__Null#9223372036854833894>,<__Null#9223372036854833895>,<__Null#9223372036854833887>
X2,<__Null#9223372036854778694>,<__Null#9223372036854778698>,<__Null#9223372036854778692>
X1,X2,<__Null#9223372036854831373>,<__Null#9223372036854831377>
<__Null#9223372036854781079>,<__Null#9223372036854781081>,<__Null#9223372036854781085>,<__Null#9223372036854781082>
<__Null#9223372036854785069>,<__Null#9223372036854785075>,X5,X6
<__Null#9223372036854799643>,<__Null#9223372036854799647>,X11,X12
<__Null#9223372036854811300>,<__Null#9223372036854811294>,<__Null#9223372036854811295>,X6
<__Null#9223372036854827332>,<__Null#9223372036854827329>,<__Null#9223372036854827326>,<__Null#9223372036854827334>
<__Null#9223372036854830884>,<__Null#9223372036854830887>,<__Null#9223372036854830882>,<__Null#9223372036854830886>
<__Null#9223372036854832535>,<__Null#9223372036854832526>,<__Null#9223372036854832527>,<__Null#9223372036854832531>
<__Null#9223372036854833003>,<__Null#9223372036854833002>,<__Null#9223372036854833009>,X12
<__Null#9223372036854833981>,<__Null#9223372036854833983>,<__Null#9223372036854833979>,<__Null#9223372036854833978>
