X3,<__Null#9223372036854789580>,<__Null#9223372036854789578>,<__Null#9223372036854789577>
X2,X3,X9,<__Null#9223372036854796385>
X2,<__Null#9223372036854788635>,<__Null#9223372036854788636>,<__Null#9223372036854788638>
X2,<__Null#9223372036854832217>,<__Null#9223372036854832213>,X10
X1,X2,X7,X8
X1,<__Null#9223372036854794888>,X7,<__Null#9223372036854794886>
X0,<__Null#9223372036854788036>,X5,<__Null#9223372036854788042>
X0,<__Null#9223372036854792613>,<__Null#9223372036854792612>,<__Null#9223372036854792618>
X0,<__Null#9223372036854833605>,X5,<__Null#9223372036854833604>
<__Null#9223372036854775913>,<__Null#9223372036854775912>,<__Null#9223372036854775914>,<__Null#9223372036854775917>
<__Null#9223372036854783645>,<__Null#9223372036854783644>,<__Null#9223372036854783646>,<__Null#9223372036854783647>
<__Null#9223372036854805232>,<__Null#9223372036854805236>,<__Null#9223372036854805240>,<__Null#9223372036854805235>
<__Null#9223372036854830963>,<__Null#9223372036854830965>,<__Null#9223372036854830973>,X12
<__Null#9223372036854831220>,X2,<__Null#9223372036854831229>,<__Null#9223372036854831222>
<__Null#9223372036854832287>,<__Null#9223372036854832291>,<__Null#9223372036854832288>,<__Null#9223372036854832292>
<__Null#9223372036854833812>,<__Null#9223372036854833814>,<__Null#9223372036854833807>,<__Null#9223372036854833810>
